Society,event_name,Food available,Alcohol available
sydneyartssociety,SASS Dunks! Interfaculty Basketball (Male),0,0
sydneyartssociety,R U OK? Day featuring Therapy Dogs!,0,0
sydneyartssociety,SASS Dunks! Interfaculty Basketball (Female),0,0
sydneyartssociety,SASS Climbs! - Interfaculty Rock Climbing (and Badminton),0,0
sydneyartssociety,SASS x Milk Bar by Cafe Ish!,0,1
sydneyartssociety,SASS Spikes! Interfaculty Mixed Volleyball,0,0
sydneyartssociety,SASS Shoots! Interfaculty Mixed Netball,0,0
sydneyartssociety,SASS Kicks! - Interfaculty Mixed Futsal,0,0
sydneyartssociety,EcoSoc and SASS Back To Uni Pub Crawl!,1,1
sydneyartssociety,SASS's 'Get Vivid' Booze Cruise!,1,1
sydneyartssociety,SASS Inaugural TRIVIA NIGHT!,0,0
sydneyartssociety,SASS Runs! Interfaculty sport - 3KM Run,0,0
sydneyartssociety,SASS Chucks! (A Frisbee) Interfaculty Sport - ULTIMATE FRISBEE,0,0
sydneyartssociety,SASS Kicks! Interfaculty Sport Futsal (Female),0,0
sydneyartssociety,SASS Kicks! Interfaculty Sport Futsal (Male),0,0
sydneyartssociety,SASS Swings (A Racket) - Interfaculty Sport Tennis,0,0
sydneyartssociety,SASS - ARNA Editor Call Out! [CLOSING TONIGHT],0,0
sydneyartssociety,SASS (Arts) Swims! Interfaculty Sport Swimming,0,0
sydneyartssociety,SASS's Semester One Pub Crawl!,1,0
sydneyartssociety,SASS (Arts) Takes Interfaculty Cricket!,0,0
sydneyartssociety,SASS's First Year Arts Camp 2016!,1,1
sydneyartssociety,SASS's Welcome Back to Uni Drinks!,0,1
sydneyartssociety,Starry Night - SASS Ball 2015,0,1
sydneyartssociety,Sydney Arts Students Society Annual General Meeting (SASS AGM),0,0
sydneyartssociety,SASS Pub Crawl Vol. 2,1,0
sydneyartssociety,[EXTENDED] ARNA Callout for Submission,0,0
sydneyartssociety,The Inaugural SASS Booze Cruise,1,1
sydneyartssociety,SASS SEMESTER 1 PUB CRAWL,1,0
sydneyartssociety,SASS General Meeting,0,0
sydneyartssociety,#ArtsCamp2015,1,1
sydneyartssociety,SASS Welcome Drinks,0,1
sydneyartssociety,Speed Friending - Back To Making New Friends,0,0
sydneyartssociety,Sydney Arts Students Society AGM,0,0
sydneyartssociety,SASS hosts ARNA 2014 Launch,0,1
sydneyartssociety,SASSFactor!,0,0
sydneyartssociety,SASS watches Pans Labyrinth,0,0
sydneyartssociety,SASS attends RACY RACE,0,0
sydneyartssociety,Rock Your Socks Off - SASS Pub Crawl!,1,0
sydneyartssociety,ARNA 2014: Submissions,0,0
sydneyartssociety,A Picnic by the Seine,0,0
sydneyartssociety,SASS General Meeting,0,0
sydneyartssociety,SASS Pub Crawl,1,1
sydneyartssociety,First Year Arts Camp,0,0
sydneyartssociety,SASS Welcome Drinks and Poetry Slam,1,1
sydneyartssociety,ARNA 2014 Sub-Editor Info Sesh,0,1
sydneyartssociety,Arts Ball 2013,0,0
sydneyartssociety,ARTS INTER-FACULTY FUN RUN,0,1
sydneyartssociety,SASS (SYDNEY ARTS STUDENTS SOCIETY) - AGM EXECUTIVE INFORMATION SESSION,0,0
sydneyartssociety,SASS TOUCH FOOTBALL,0,0
sydneyartssociety,SASS Inter-faculty Male Basketball,0,0
sydneyartssociety,SASS Special General Meeting,0,0
sydneyartssociety,SASS Inter-faculty MIXED Soccer,0,0
sydneyartssociety,USU HUMANITARIAN FAIR: FORT HOLME (OPERATION SLUMBER PARTY),1,0
sydneyartssociety,SASS Mixed Touch Football  - Interfaculty Sport,0,0
sydneyartssociety,SASS Interfaculty Mixed Cricket,0,0
sydneyartssociety,"SASS attends Jew Revue 2013: Jew Fast, Jew Furious",0,0
sydneyartssociety,SASS Inter-Faculty Male & Female Soccer,0,0
sydneyartssociety,Ye Olde Pube Crawle,0,1
banterandmemes,SUCE EndOfSem Pres,0,1
banterandmemes,Lachlan Finch v2,1,1
banterandmemes,The Lachlan Finch Party,0,1
banterandmemes,"Wally's Wallet, SUMO & SUEUA Present: Cold Ones and Tequila",0,0
banterandmemes,Make USYD Great Again,0,0
banterandmemes,Bamsoc AGM '17,0,0
banterandmemes,USYD Societies Present: End of Exams Party 2016!,1,1
banterandmemes,Bone Apple Tea: Bamsoc goes to Scubar and Crab Racing,0,0
banterandmemes,Bamsoc and Sparksoc present: Wet with a Chance of Lightning,1,1
banterandmemes,Subski & Bamsoc Halloween Booze Cruise,0,1
banterandmemes,"SUEUA and Bamsoc present: Harba Cruz 2016 Dank Memes, Wet Dreams, and Laser Beams",1,1
banterandmemes,Bamsoc Presents: Cheeky Nando's,0,0
banterandmemes,BAMSOC's Welcome to Uni: Cheeky Nando's,0,1
banterandmemes,BAMSOC presents: Cheeky Nando's,0,1
fabsoc.sydney,Fabsoc General Meeting (Week 12),0,0
fabsoc.sydney,Fabsoc x Carousell Presents: USYD Open Day!,0,0
fabsoc.sydney,USYD Fabsoc O day Sem 2 2017,0,0
fabsoc.sydney,Fabsoc AGM 2017,0,0
fabsoc.sydney,Fabsoc Hosts Social Drinks!,0,1
fabsoc.sydney,USYD Fashion and Beauty Society at O-Week 2017,0,0
fabsoc.sydney,Pop-Up Nail Salon | Fabsoc x VERGE Festival,0,0
fabsoc.sydney,BAKE SALE!,0,0
fabsoc.sydney,Ekansh X Fabsoc : Henna & Nails,0,0
fabsoc.sydney,Bake Sale!,0,0
fabsoc.sydney,USYD Fashion & Beauty Society: O Day 2016!,0,0
fabsoc.sydney,Movie Night - The Great Gatsby,0,0
fabsoc.sydney,Fabsoc x Carousell Swap & Shop,1,0
fabsoc.sydney,Pop-Up Nail Salon | FABSOC x Pride Week,0,0
fabsoc.sydney,FABSOC AGM 2016,0,0
fabsoc.sydney,Welcome to FABSOC: Garden Party,0,1
fabsoc.sydney,USYD Fashion & Beauty Society: O-Week 2016!,0,0
fabsoc.sydney,The Bloggers Station | FABSOC x Verge Festival,0,0
fabsoc.sydney,Trivia Night + Meet 'n' Greet,1,1
fabsoc.sydney,RE-O-DAY 2015 FABSOC,0,0
fabsoc.sydney,FABSOC FREE HAIRSTYLING EVENT,0,0
fabsoc.sydney,FABSOC for NEPAL FUNDRAISER,0,0
fabsoc.sydney,FABSOC 'High Tea' AGM,0,0
fabsoc.sydney,Fabsoc Photoshoot event!,0,0
fabsoc.sydney,FABSOC Welcome Drinks,1,1
fabsoc.sydney,FABSOC @ O-WEEK 2013,0,0
madsocusyd,MADSOC Attends: Spring Awakening,0,0
madsocusyd,End of Year Showcase!,0,1
madsocusyd,MADSOC AGM 2017,1,1
madsocusyd,Back to Semester Drinks,1,0
madsocusyd,JFH Workshop with Carmen,0,0
madsocusyd,Salsa Workshop with Faisal,0,0
madsocusyd,Tap Workshop with Tom,0,0
madsocusyd,MADSOC Movie Night!,1,0
madsocusyd,MADSOC GM,0,0
madsocusyd,MADSOC Attends: Revue Season!,0,0
madsocusyd,O-Day Hiphop Workshop,0,0
madsocusyd,[★★★SOLD OUT★★★] Performing Arts Ball 2017: Space Ball,1,1
madsocusyd,"MADSOC Attends: MUSE ""Before Tomorrow"" - A Cabaret",0,0
madsocusyd,MADSOC attends: The 2017 Sydney Uni Revue,0,0
madsocusyd,MADSOC GM,0,0
madsocusyd,MADSOC GM,0,0
madsocusyd,MADSOC Attends: MUSE's Grease,0,0
madsocusyd,MADSOC Mad Socks Welcome Drinks,1,1
madsocusyd,MADSOC O-Week Stall,0,0
madsocusyd,Bunnings Sausage Sizzle - MADSOC Edition,0,0
madsocusyd,MADSOC End of Year Showcase,0,1
madsocusyd,MADSOC Blues Fusion Masterclass,0,0
madsocusyd,MADSOC Presents: 'Flicker',0,0
madsocusyd,Madsoc Attends: Curtains,0,0
madsocusyd,Madsoc AGM 2016,0,1
madsocusyd,JFH with Carmen - Radical Sex & Consent Week,0,0
madsocusyd,Madsoc Attends: Revue Season!,0,0
madsocusyd,LOCUS - The Movement and Dance Society's 2016 Major Production,0,0
madsocusyd,Madsoc Semester 2 Welcome Back drinks!,0,0
madsocusyd,Madsoc Attends No Lights No Lycra,0,1
madsocusyd,JFH with Carmen,0,0
madsocusyd,MADSOC's End Of Sem Party - The Final Countdown,0,0
madsocusyd,MADSOC Attends Wom*n's Revue 2016,0,0
madsocusyd,MADSOC Attends MUSE Compilation Cabaret,0,0
madsocusyd,MADSOC Attends 2016 Sydney Uni Revue,0,0
madsocusyd,MADSOC Attends MUSE's 'Legally Blonde',0,1
madsocusyd,MADSOC Attends Salsa at Establishment Bar!,1,1
madsocusyd,MADSOC Mad Socks Party,1,0
madsocusyd,"SUDS, MUSE, MADSOC & SURCAS Present: Performing Arts Trivia Night",1,1
madsocusyd,Adults Only Ballet Bootcamp @ Dance Domain,0,0
madsocusyd,MADSOC attends Salsa @ Establishment Bar!,1,1
madsocusyd,MADSOC Attends: MUSE Rep Season!,0,0
madsocusyd,MADSOC END OF YEAR SHOWCASE,0,1
madsocusyd,MADSOC Presents: ARC,0,1
madsocusyd,MADSOC AGM 2015,1,1
madsocusyd,MADSOC Attends 'Patches' at the Sydney Fringe Festival,0,0
madsocusyd,MADSOC Attends: Science Revue's 'Darwins & Dragons'!,0,1
madsocusyd,MADSOC Attends Commerce Revue 'Guys & Dollar Bills',0,1
madsocusyd,RADSEX & MADSOC Present: DANCE CLASS WITH AMRITA!,0,0
madsocusyd,MADSOC Attends Kindred!,0,0
madsocusyd,MADSOC Attends: ARTS REVUE'S 'The Arts of War',0,0
madsocusyd,MADSOC GM Sem 2!,0,0
madsocusyd,MADSOC's 10+1th Birthday & Welcome Back Party!,1,1
madsocusyd,MADSOC Attends SUDS Major 'A Midsummer Night's Dream',0,0
madsocusyd,MADSOC Attends: MUSE Compilation Show 'Out of the Shadows',1,0
madsocusyd,MADSOC Attends: Health and Wellbeing Day,0,0
madsocusyd,MADSOC Creative Workshop #1!,0,0
madsocusyd,MADSOC: Jam Session #1,1,0
madsocusyd,MADSOC Attends MUSE 'A Little Night Music',0,1
madsocusyd,MADSOC's Mad Socks Party!,1,0
madsocusyd,MADSOC @ O WEEK 2015,0,0
madsocusyd,MADSOC'S End of Year Showcase,1,1
madsocusyd,OSCURO Viewing @ Verge Film Festival,0,0
madsocusyd,MADSOC AGM 2014,1,1
madsocusyd,Studio B Partay!,1,0
madsocusyd,MADSOC @ Open Day,0,0
madsocusyd,MADSOC/OSCURO Attends Commerce Revue: Moolah Rouge,0,0
madsocusyd,MADSOC Does Salsa @ Establisment,0,0
madsocusyd,The Stroke of Midnight: The 2014 Performing Arts Ball,0,1
madsocusyd,OSCURO Attends: Jew Revue - Torah the Explorer!,0,0
madsocusyd,"MADSOC attends: CPC Open Day (Food, Smoothies, Prizes)",0,0
madsocusyd,MADSOC GM: Join the Exec,0,1
madsocusyd,SECRET FLASHMOB! Shh...,0,0
madsocusyd,Because I'm Happy Beginner's Dance Class - USU Health and Wellbeing Week,0,0
madsocusyd,OSCURO - Dancer Auditions,0,0
madsocusyd,MADSOC attends: ANYTHING GOES!,0,1
madsocusyd,MADSOC Meet 'n' Greet,0,1
madsocusyd,Magnetic Viewing Night,1,0
madsocusyd,MADSOC End of Year Showcase 2013!,0,1
madsocusyd,MADSOC and Verge 2013 Present: SEXPRESS,0,0
madsocusyd,Verge Festival Presents: A Funching Affair,1,0
madsocusyd,MADSOC AGM: Take 2,0,0
madsocusyd,New class: Lyrical Hip-Hop with Michaela Hodge!,0,0
madsocusyd,MAGNETIC,0,0
madsocusyd,MADSOC goes to Science Revue!,0,0
madsocusyd,AUJS and MADSOC present: SALSA FROM THE HEART,0,0
madsocusyd,MADSOC goes to: SYNERGY!,0,0
