Society,Facebook Link,Facebook ID,Category
Marketing Society (SMS),https://www.facebook.com/smsociety,smsociety,Professional-Development
Mandarin Bible Study,https://www.facebook.com/groups/120553061365691/,groups/120553061365691/,Faith-Religion
Motorcycle Club,http://https://www.facebook.com/groups/SUMotoSoc/,groups/SUMotoSoc/,Sports-Recreation
Muslim Students' Association,NONE,NONE,Faith-Religion
Movement and Dance Society,http://www.facebook.com/madsocusyd/,madsocusyd/,Arts
Musical Society (SUMS),https://www.facebook.com/usydmusicalsociety,usydmusicalsociety,Arts
Musical Theatre Ensemble,https://www.facebook.com/museatusyd/?hc_ref=ARSPtaAAnpCXr6qRYCSoCAVMHfXyEW8Xcf7RH_ax5k7YOFIbAlOrCJkyEKsqJZNAbqM&fref=gs&dti=146450742126688&hc_location=group,museatusyd,Arts
Metal Society,https://www.facebook.com/University-of-Sydney-Metal-Society-1620437378169639/?fref=ts,University-of-Sydney-Metal-Society-1620437378169639/?fref=ts,Just-for-fun
Mathematics Society,https://www.facebook.com/groups/usydmaths/,groups/usydmaths/,Course-Related
MUGS: Mechanical Undergraduates Society,http://www.facebook.com/groups/255139001231882/,groups/255139001231882/,Course-Related
Mechatronics Organisation,http://facebook.com/su.mtrxorg,su.mtrxorg,Course-Related
Medical Science Society,https://www.facebook.com/groups/1772060863022811/,groups/1772060863022811/,Course-Related
Medical Society,https://www.facebook.com/sydneyuniversitymedicalsociety/,sydneyuniversitymedicalsociety/,Course-Related
Myanmar Cultural Society,www.facebook.com/usydmyanmarsociety/,usydmyanmarsociety/,Ethno-Cultural
Media & Communications Society,https://www.facebook.com/SydneyUniMecoSoc,SydneyUniMecoSoc,Course-Related
Network Of Women (NOW),http://www.facebook.com/sydneyuni.now,sydneyuni.now,Professional-Development
North American Veterinary Students Association,https://www.facebook.com/groups/535170196655720/,groups/535170196655720/,Course-Related
Nursing Society,http://www.facebook.com/usydnursing,usydnursing,Course-Related
Oxfam Sydney University,http://www.facebook.com/#!/groups/2425286849/,/groups/2425286849/,Humanitarian-Community-Aid
Poker Society,https://www.facebook.com/USYDPOKERSOC/,USYDPOKERSOC/,Just-for-fun
Polo Society,www.facebook.com/UniversityOfSydneyPolo,UniversityOfSydneyPolo,Sports-Recreation
People of Colour Revue Society,https://www.facebook.com/usydpocrevue/,usydpocrevue/,Revues
Pop Music Performance Society,//facebook.com/USUAccess,USUAccess,Arts
Pen Society,http://https://www.facebook.com/usydpensoc?fref=ts,usydpensoc?fref=ts,Just-for-fun
Pokemon League,https://www.facebook.com/groups/USYDPokemonLeague/,groups/USYDPokemonLeague/,Just-for-fun
Piano Society,http://www.facebook.com/PianoSoc/,PianoSoc/,Arts
Power to Change,https://www.facebook.com/powertochangeUSYD/,powertochangeUSYD/,Faith-Religion
Psychology Society,https://www.facebook.com/groups/63258793899/,groups/63258793899/,Course-Related
Pharmacy Association,http://www.facebook.com/supapharmacy,supapharmacy,Course-Related
Physics Society,http://www.facebook.com/usydphysoc/,usydphysoc/,Course-Related
Photographic Society,https://www.facebook.com/sydneyuniphotosoc/?fref=ts,sydneyuniphotosoc,Just-for-fun
Political Economy Society,https://www.facebook.com/ECOPSoc/,ECOPSoc/,Course-Related
Politics Society,https://www.facebook.com/supoliticssociety?fref=ts,supoliticssociety,Course-Related
Queer Revue Society,www.facebook.com/pages/Sydney-University-Queer-Revue/669505539793347,pages/Sydney-University-Queer-Revue/669505539793347,Revues
RunClub,www.facebook.com/USYDRunClub/,USYDRunClub/,Sports-Recreation
Resistance Club,//facebook.com/USUAccess,USUAccess,Political
Red Cross Society,https://www.facebook.com/groups/SURCS/,groups/SURCS/,Humanitarian-Community-Aid
Roller Derby Society,https://www.facebook.com/USYDRollerDerbyLeague,USYDRollerDerbyLeague,Sports-Recreation
Radio Group,https://facebook.com/SURGFM.USYD,SURGFM.USYD,Just-for-fun
Russellian Society,http://www.facebook.com/groups/RussellianSociety/,groups/RussellianSociety/,Course-Related
Students for Liberty,http://https://www.facebook.com/UsydLibertarianSociety/?fref=ts,UsydLibertarianSociety/?fref=ts,Political
SCUBA,https://www.facebook.com/usyddivers/,usyddivers/,Sports-Recreation
Solidarity Student Club,https://www.facebook.com/sydneysolidaritystudents/,sydneysolidaritystudents/,Political
Students For Palestine,https://www.facebook.com/USydSFP/,USydSFP/,Humanitarian-Community-Aid
Socialist Alternative Club,https://www.facebook.com/SocialistAltUSyd,SocialistAltUSyd,Political
Science Revue Society,Facebook.com/sciencerevue,sciencerevue,Revues
Social Basketball Club,https://www.facebook.com/groups/usydsbc/,groups/usydsbc/,Sports-Recreation
Speleological Society,https://www.facebook.com/suss.caves,suss.caves,Sports-Recreation
Sydney University Marching Band Association (SUMBA),https://www.facebook.com/theSUMBA/,theSUMBA/,Arts
Surf Lifesaving,https://www.facebook.com/Sydney-University-Surf-Lifesaving-Society-164882177422289/,Sydney-University-Surf-Lifesaving-Society-164882177422289/,Sports-Recreation
Sydney Social Football Society,https://www.facebook.com/pages/USYD-Social-Soccer-Society/401296616632540,pages/USYD-Social-Soccer-Society/401296616632540,Sports-Recreation
SOPHIA Orthodox Christian Fellowship,https://www.facebook.com/sophiausyd/,sophiausyd/,Faith-Religion
Sydney University Car Club,https://www.facebook.com/groups/sydneyunicarclub/,groups/sydneyunicarclub/,Sports-Recreation
SUTEKH-Sydney University Pop Culture and Games Society,https://www.facebook.com/groups/SUTEKH,groups/SUTEKH,Just-for-fun
Soulxpress,https://www.facebook.com/soulxpressUSYD/?ref=bookmarks,soulxpressUSYD/?ref=bookmarks,Arts
SURCAS,http://www.facebook.com/#!/groups/166478596739315/,/groups/166478596739315/,Arts
SU Anime,https://www.facebook.com/groups/suanime/,groups/suanime/,Just-for-fun
Symphony Orchestra,http://www.facebook.com/susymphony,susymphony,Arts
Stucco Housing Co-operative Society,//facebook.com/USUAccess,USUAccess,Humanitarian-Community-Aid
Society for Creative Anachronism [SCA Medieval Society],https://www.facebook.com/groups/354818967935962/,groups/354818967935962/,Just-for-fun
Singapore Students' Society,www.facebook.com/sssusyd,sssusyd,Ethno-Cultural
Slavic Society,https://www.facebook.com/UsydSlavSoc/,UsydSlavSoc/,Ethno-Cultural
Spanish & Latin American Society,https://www.facebook.com/usyd.spanish.latin?ref=ts&fref=ts,usyd.spanish.latin?ref=ts&fref=ts,Ethno-Cultural
Sikh Society,//facebook.com/USUAccess,USUAccess,Ethno-Cultural
Singapore Medical Society,http://https://www.facebook.com/usydsgmed/,usydsgmed/,Course-Related
Sydney Filipino Society,http://facebook.com/sydneyfilosoc,sydneyfilosoc,Ethno-Cultural
Science Society,http://www.facebook.com/usydscisoc,usydscisoc,Course-Related
Shades,https://www.facebook.com/sushades/,sushades/,Just-for-fun
SparkSoc,http://https://www.facebook.com/SparkSoc-Sydney-University-Electrical-Engineering-Society-244083638959749/,SparkSoc-Sydney-University-Electrical-Engineering-Society-244083638959749/,Course-Related
Sydney Arts Students Society,https://www.facebook.com/sydneyartssociety,sydneyartssociety,Course-Related
Sydney College of the Arts Student Society,https://www.facebook.com/scastudentsociety/,scastudentsociety/,Course-Related
Statistics Society,http://www.facebook.com/statsoc,statsoc,Course-Related
South East Asian Law Society,https://www.facebook.com/South-East-Asian-Law-Society-SEALS-351171858326818/timeline/,South-East-Asian-Law-Society-SEALS-351171858326818/timeline/,Course-Related
The University of Sydney Quidditch Club,https://www.facebook.com/USydQuidditch/,USydQuidditch/,Sports-Recreation
Tea Society,http://www.facebook.com/groups/56454197333/,groups/56454197333/,Food-Beverage
The University of Sydney Go Society,www.facebook.com/groups/usyd.gosoc/,groups/usyd.gosoc/,Just-for-fun
Tzu Chi College Association,https://www.facebook.com/groups/USYD.TCCA/,groups/USYD.TCCA/,Humanitarian-Community-Aid
Triathlon Club,https://www.facebook.com/groups/232874026752808/,groups/232874026752808/,Sports-Recreation
Taiwanese Students Association,http://www.facebook.com/groups/SydneyTSA/,groups/SydneyTSA/,Ethno-Cultural
Turkish Society,https://www.facebook.com/turksocusyd,turksocusyd,Ethno-Cultural
Toastmasters Society,https://www.facebook.com/usydtm,usydtm,Course-Related
USYD Network for Investing and Trading,https://www.facebook.com/UNITsydney,UNITsydney,Professional-Development
United Nations Society,http://https://www.facebook.com/usydunsociety,usydunsociety,Humanitarian-Community-Aid
Unibodhi: University of Sydney Buddhist Society,http://www.facebook.com/groups/unibodhi,groups/unibodhi,Faith-Religion
University of Sydney Infrastructure Club,https://www.facebook.com/usydinfra/,usydinfra/,Course-Related
United States Studies Society,https://www.facebook.com/USSSoc/,USSSoc/,Course-Related
Vegetarian Society,https://www.facebook.com/groups/usydvegesoc/,groups/usydvegesoc/,Food-Beverage
Veterinary Science Revue Society,https://www.facebook.com/groups/1927239690888886/,groups/1927239690888886/,Revues
Variety Children's Society,https://www.facebook.com/groups/1035250696563775/,groups/1035250696563775/,Humanitarian-Community-Aid
Vision Generation,https://www.facebook.com/groups/409642099234959/,groups/409642099234959/,Humanitarian-Community-Aid
Virtual Reality Society,https://www.facebook.com/SydneyVRSociety/,SydneyVRSociety/,Just-for-fun
Vietnamese International Students at the University of Sydney,https://www.facebook.com/ViSUS.Sydney/,ViSUS.Sydney/,Ethno-Cultural
Vietnamese Students Association,https://www.facebook.com/usydvsa,usydvsa,Ethno-Cultural
Wom*n's Revue Society,https://www.facebook.com/womnsrevue/,womnsrevue/,Revues
Work and Organisational Studies Society,https://www.facebook.com/wosoc,wosoc,Professional-Development
Wildlife Society,http://www.facebook.com/wildlifesoc/?view_public_for=129671783825926,wildlifesoc,Humanitarian-Community-Aid
Wind Orchestra,http://www.facebook.com/sydneyuniversitywindorchestra,sydneyuniversitywindorchestra,Arts
WASABI - Japanese Cultural Exchange Society,https://www.facebook.com/groups/wasabi.usyd/,groups/wasabi.usyd/,Ethno-Cultural
Women in Science,https://www.facebook.com/usydwissoc/,usydwissoc/,Course-Related
Young Entrepreneurs Society,http://https://www.facebook.com/Usydyesoc/,Usydyesoc/,Professional-Development
Young Vinnies Society,http:///www.facebook.com/groups/usydvinnies/,groups/usydvinnies/,Humanitarian-Community-Aid
Young Australian Lebanese Association,https://www.facebook.com/yalausyd,yalausyd,Ethno-Cultural
