Society,Facebook_Link,Facebook_ID,Category,Likes
Christian Students Uniting,https://www.facebook.com/christianstudentsuniting,christianstudentsuniting,Faith-Religion,441
Students For Palestine,https://www.facebook.com/USydSFP/,USydSFP,Humanitarian-Community-Aid,361
Chinese Christian Fellowship,https://www.facebook.com/succf,succf,Faith-Religion,340
Sydney Filipino Society,http://facebook.com/sydneyfilosoc,sydneyfilosoc,Ethno-Cultural,332
Jamming Society,https://www.facebook.com/UNIJAM.USYD/,UNIJAM.USYD,Arts,320
Book Society,https://www.facebook.com/usydbooksoc/,usydbooksoc,Just-for-fun,316
China Development Society,https://www.facebook.com/usydcds/,usydcds,Ethno-Cultural,315
HealthSoc,www.facebook.com/suhealthsoc,suhealthsoc,Course-Related,267
Solidarity Student Club,https://www.facebook.com/sydneysolidaritystudents/,sydneysolidaritystudents,Political,267
Effective Altruism Society,https://www.facebook.com/EAUSYD/,EAUSYD,Humanitarian-Community-Aid,259
Fred Hollows Society,https://www.facebook.com/FredSocSydney?fref=ts,FredSocSydney,Humanitarian-Community-Aid,251
People of Colour Revue Society,https://www.facebook.com/usydpocrevue/,usydpocrevue,Revues,247
Food and Wine Society,https://www.facebook.com/sydneywinesoc/,sydneywinesoc,Food-Beverage,244
Arabic Languages and Cultures Society,https://www.facebook.com/alacsocietyusyd/,alacsocietyusyd,Ethno-Cultural,235
Food Adventure Society,https://www.facebook.com/FoodAdventureSociety/,FoodAdventureSociety,Food-Beverage,233
Food Wastage Fighters,https://www.facebook.com/foodwastagefighters/,foodwastagefighters,Food-Beverage,232
Statistics Society,http://www.facebook.com/statsoc,StatSoc,Course-Related,224
SCUBA,https://www.facebook.com/usyddivers/,usyddivers,Sports-Recreation,222
Poker Society,https://www.facebook.com/USYDPOKERSOC/,USYDPOKERSOC,Just-for-fun,221
Slavic Society,https://www.facebook.com/UsydSlavSoc/,UsydSlavSoc,Ethno-Cultural,221
Kiwi Students Society,www.facebook.com/usydkiwis,usydkiwis,Ethno-Cultural,218
Car Club,https://www.facebook.com/sucarclub/,sucarclub,Sports-Recreation,191
Armenian Society,https://www.facebook.com/Sydney-University-Armenian-Society-593670154130843/,hayksoc,Ethno-Cultural,183
Chinese Culture Society,https://www.facebook.com/USYDCCS,USYDCCS,Ethno-Cultural,179
Sydney University Marching Band Association (SUMBA),https://www.facebook.com/theSUMBA/,theSUMBA,Arts,172
Jewish Revue Society,http://https://www.facebook.com/jewishrevuesociety,jewishrevuesociety,Revues,152
DJ Society,https://www.facebook.com/DJSOC.USYD/,DJSOC.USYD,Arts,150
International Youth Fellowship Society,http:/www.facebook.com/usydiyf,USYDIYF,Faith-Religion,146
RunClub,www.facebook.com/USYDRunClub/,USYDRunClub,Sports-Recreation,126
Sydney College of the Arts Student Society,https://www.facebook.com/scastudentsociety/,scastudentsociety,Course-Related,110
Conservatorium Christian Group,https://www.facebook.com/conchristiangroup,conchristiangroup,Faith-Religion,95
Chinese Dance and Musical Instrument Society,https://www.facebook.com/chinesedanceandmusic/,chinesedanceandmusic,Arts,78
Virtual Reality Society,https://www.facebook.com/SydneyVRSociety/,SydneyVRSociety,Just-for-fun,49
University of Sydney Infrastructure Club,https://www.facebook.com/usydinfra/,usydinfra,Course-Related,24
AIESEC in Sydney,https://www.facebook.com/aiesec.sydney,AIESECAustralia,Professional-Development,0
AIESEC Sydney,https://www.facebook.com/aiesec.sydney,AIESECAustralia,Ethno-Cultural,0
Combined Medicine Association,//facebook.com/USUAccess,USUAccess,Course-Related,0
Handball Society,//facebook.com/USUAccess,USUAccess,Sports-Recreation,0
Medical Revue Society,//facebook.com/USUAccess,USUAccess,Revues,0
Mandelbaum House Residents Society,//facebook.com/USUAccess,USUAccess,Just-for-fun,0
Pop Music Performance Society,//facebook.com/USUAccess,USUAccess,Arts,0
Resistance Club,//facebook.com/USUAccess,USUAccess,Political,0
Stucco Housing Co-operative Society,//facebook.com/USUAccess,USUAccess,Humanitarian-Community-Aid,0
Sikh Society,//facebook.com/USUAccess,USUAccess,Ethno-Cultural,0
Agricultural Society,https://www.facebook.com/groups/1486529708235445/,groups/1486529708235445/,Course-Related,0
Arts and Crafts,https://www.facebook.com/groups/usydcraftsoc/,groups/usydcraftsoc/,Arts,0
Animal Welfare Society,https://www.facebook.com/groups/usyd.aws/,groups/usyd.aws/,Humanitarian-Community-Aid,0
Australia-Chinese Cultural Appreciation Society,https://www.facebook.com/groups/usydchopsticks/,groups/usydchopsticks/,Ethno-Cultural,0
Archaeology Society,https://www.facebook.com/groups/archsocusyd/,groups/archsocusyd/,Course-Related,0
BarberSoc University of Sydney A Cappella Society,https://www.facebook.com/barbersocUSYD?fref=ts,barbersocUSYD?,Arts,0
"Biomedical Engineers, Association of",http://https://www.facebook.com/SUABE-140592789461797/,SUABE-140592789461797/,Course-Related,0
Bangladeshi Society,http://https://www.facebook.com/groups/bsa.usyd/,groups/bsa.usyd/,Ethno-Cultural,0
Baha'i Society,https://www.facebook.com/groups/191294898064/,groups/191294898064/,Faith-Religion,0
Craft Beer Appreciation Society,https://www.facebook.com/HopSoc-156736708194291/,HopSoc,Food-Beverage,0
Calligraphy Society,http://www.facebook.com/groups/1481001412140145/,groups/1481001412140145/,Just-for-fun,0
Cube Society,https://www.facebook.com/groups/1819981931658544/,groups/1819981931658544/,Just-for-fun,0
Catholic Asian Students Society,https://www.facebook.com/usydcasstoby,usydcasstoby,Faith-Religion,0
Chocolate Society,https://www.facebook.com/groups/usydchocsoc/,groups/usydchocsoc/,Food-Beverage,0
Chemical Engineering Society,https://www.facebook.com/groups/SUCES.USYD/,groups/SUCES.USYD/,Course-Related,0
Combined Dentistry Association,https://www.facebook.com/groups/376971522656956/,groups/376971522656956/,Course-Related,0
Chinese Students Association,http://https://www.facebook.com/SUCSA-365126455769/?fref=ts,SUCSA-365126455769/?fref=ts,Ethno-Cultural,0
Competitive Online Gaming Society,http://https://www.facebook.com/groups/suscogs/,groups/suscogs/,Just-for-fun,0
Chess Club,https://www.facebook.com/groups/usydchessclub/,groups/usydchessclub/,Just-for-fun,0
Crossword Society,https://www.facebook.com/groups/crosssoc/,groups/crosssoc/,Just-for-fun,0
Chinese Law Students Society,https://www.facebook.com/groups/20627336680/,groups/20627336680/,Course-Related,0
Designers Association (SUDA),https://www.facebook.com/groups/architecture.suda/,groups/architecture.suda/,Course-Related,0
Engineers without Borders,www.facebook.com/groups/ewbusyd/,groups/ewbusyd/,Humanitarian-Community-Aid,0
Education and Social Work Revue,https://www.facebook.com/University-of-Sydney-Education-and-Social-Work-Revue-Society-EDSWRS-341998875845614/,University-of-Sydney-Education-and-Social-Work-Revue-Society-EDSWRS-341998875845614/,Revues,0
Evangelical Union,http://https://www.facebook.com/sydneyunieu/?fref=ts,sydneyunieu/?fref=ts,Faith-Religion,0
Experience Designers,https://www.facebook.com/groups/SydneyUniExperienceDesigners/?ref=br_rs,groups/SydneyUniExperienceDesigners/?ref=br_rs,Course-Related,0
Hepatitis B Free Society,https://www.facebook.com/groups/usydhepbfree,groups/usydhepbfree,Humanitarian-Community-Aid,0
Hillsong Campus,https://www.facebook.com/groups/Hillsong.Campus.USYD/,groups/Hillsong.Campus.USYD/,Faith-Religion,0
Hokkien Students Association,http://www.facebook.com/hsafj/?ref=bookmar,hsafj/?ref=bookmar,Ethno-Cultural,0
Hip Hop Appreciation Society,https://www.facebook.com/groups/2130367683925886/,groups/2130367683925886/,Just-for-fun,0
International Christian Fellowship,http://https://www.facebook.com/groups/96565980541/,groups/96565980541/,Faith-Religion,0
Indonesian Student Association,www.facebook.com/groups/ppiauniofsydney,groups/ppiauniofsydney,Ethno-Cultural,0
KOSTA Six-0-One,https://www.facebook.com/groups/usydkosta601/?ref=br_tf,groups/usydkosta601/?ref=br_tf,Faith-Religion,0
Korean Law Students,http://https://www.facebook.com/groups/4732448087/,groups/4732448087/,Course-Related,0
Linguistics Society,http://facebook.com/groups/lingsoc,groups/lingsoc,Course-Related,0
Mental Awareness and Health Society,https://www.facebook.com/pages/MAHsoc/298593186934594?fref=ts,pages/MAHsoc/298593186934594?fref=ts,Humanitarian-Community-Aid,0
